Model,Accuracy,F1-macro,Balanced Acc
LightGBM,0.9641148325358851,0.9637416234579579,0.9627553329912677
XGBoost,0.9617224880382775,0.9617305303248088,0.9604356623412885
SVM (optimized),0.9617224880382775,0.961453515947136,0.9611231521913399
RandomForest,0.9425837320574163,0.9407051787303888,0.939872491534992
ExtraTrees,0.9330143540669856,0.9310886165365986,0.9302652922418015
DecisionTree,0.9210526315789473,0.917782487950633,0.916769671789704
LogisticRegression,0.8660287081339713,0.8611037744059422,0.8639094506737753
KNN (optimized),0.8636363636363636,0.8574041813232525,0.8585374608302782
LabelPropagation,0.8133971291866029,0.8015519159504858,0.8084499080883992
LabelSpreading,0.80622009569378,0.7946309513182591,0.8013486349772739
NaiveBayes (optimized),0.5765550239234449,0.5294046169911858,0.5721027490681783
